Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
AERO, SOFA-1/2CPOS(STD);MDF 9MM                       ;1,49;m²;
AERO, SOFA-1/2CPOS(STD);CHAPADUR 3MM                  ;0,37;m²;
ONIX, SOFA-1CPO(-76);LISTON 1X2X0,700;0,77;ft²;
ONIX, SOFA-1CPO(-76);LISTON 1X2X0,920;2,01;ft²;
ONIX, SOFA-1CPO(-76);LISTON 1X2X1,850;3,08;ft²;
ONIX, SOFA-1CPO(-76);LISTON 1X3X0,760;2,49;ft²;
ONIX, SOFA-1CPO(-76);LISTON 1X3X0,920;6,04;ft²;
ONIX, SOFA-1CPO(-76);MDF 15MM;1,67;m²;
ONIX, SOFA-1CPO(-76);CHAPADUR 3MM                  ;1,62;m²;
ONIX, SOFA-1CPO(-76);AMINA                         ;9,8168;g;
ONIX, SOFA-1CPO(-76);TDI (DI ISIOCANATO DE TOLUENO);2279,2138;g;
ONIX, SOFA-1CPO(-76);PASTA AMARILLA;1,3312;g;
ONIX, SOFA-1CPO(-76);T9 (OCTOATO DE ESTAAÑO)       ;11,672;g;
ONIX, SOFA-1CPO(-76);VORANOL 3011 (POLIOL)         ;4209,8242;g;
ONIX, SOFA-1CPO(-76);CLORURO DE METILENO           ;235,9071;g;
ONIX, SOFA-1CPO(-76);SILICONA2 - B 8123 / 580      ;17,344;g;
ONIX, SOFA-1CPO(-76);PASTA NEGRA;1,602;g;
ONIX, SOFA-1CPO(-76);PASTA AZUL;6,4347;g;
ONIX, SOFA-1CPO(-76);SILICONA1 B 8228 - 594        ;47,8912;g;
ONIX, SOFA-1CPO(-76);VORANOL 3943 (COPO)           ;366,0171;g;
ONIX, SOFA-1CPO(-76);PASTA ROJA                    ;1,578;g;
ONIX, SOFA-1CPO(-76);Cascara;2,36;kg;
ONIX, SOFA-1CPO(-76);FIBRA HUECA/CONJ/SIL15DX64(VEL;2,6;kg;
ONIX, SOFA-1CPO(-76);ABROJO FELPA NRO 5 (ESTANDAR);1,6;m;
ONIX, SOFA-1CPO(-76);ABROJO PINCHE NRO 5 (ESTANDAR);1,6;m;
ONIX, SOFA-1CPO(-76);AUT HEX. MAD P AGU T2 12X1 1/2;12;Units;
ONIX, SOFA-1CPO(-76);AUT HEX. MAD P AGU T2 12X2;10;Units;
ONIX, SOFA-1CPO(-76);BASE DESPLAZABLE (3PZA);1;Units;
ONIX, SOFA-1CPO(-76);CABECEROS (3 PZA);1;Units;
ONIX, SOFA-1CPO(-76);CADENA NYLON N 5 (ESTANDAR);5,72;m;
ONIX, SOFA-1CPO(-76);DESLIZADOR NRO 5;6;Units;
ONIX, SOFA-1CPO(-76);GRAMPA 84/14;0,31;Unidad de Mil;
ONIX, SOFA-1CPO(-76);GRAMPA 84/8;0,5;Unidad de Mil;
ONIX, SOFA-1CPO(-76);GRAMPA 92/40;0,25;Unidad de Mil;
ONIX, SOFA-1CPO(-76);GUATA 100G 150M;1,25;m;
ONIX, SOFA-1CPO(-76);GUATA 200G 150M;1,87;m;
ONIX, SOFA-1CPO(-76);LIENZO TNT 75 ANCHO (ALPILL);0,9;m;
ONIX, SOFA-1CPO(-76);LIENZO TNT 110 ANCHO (ALPILL);2,08;m;
ONIX, SOFA-1CPO(-76);NYLON BOLSA 189X215X80 (LEAN);1;Units;
ONIX, SOFA-1CPO(-76);PLANCHA CARTON 2500X1610 (ONIX;2;Units;
ONIX, SOFA-1CPO(-76);PRECINTO 200X3.6;6;Units;
ONIX, SOFA-1CPO(-76);REGATON BASTON 10*80P/PRECINTO;6;Units;
ONIX, SOFA-1CPO(-76);TNT 30G - 1,5M - BLANCO;2,4;m;
ONIX, SOFA-1CPO(-76);TNT 60G - 1,5M - BLANCO/NEGRO;1;m;
ONIX, SOFA-1CPO(-76);TORNILLO P/MADERA 3.5X25;14;Units;
AERO, SOFA-1/3CPOS(+29);CORTE DE TELA 1;1;Units;
AERO, SOFA-1/3CPOS(+29);FLM 29-110(WENGUE);4;Units;
AERO, SOFA-1/3CPOS(+29);LISTON 1X2X0,630;1,38;ft²;
AERO, SOFA-1/3CPOS(+29);LISTON 1X2X0,670;0,73;ft²;
AERO, SOFA-1/3CPOS(+29);LISTON 1X2X0,700;3,06;ft²;
AERO, SOFA-1/3CPOS(+29);LISTON 1X2X1,520;4,16;ft²;
AERO, SOFA-1/3CPOS(+29);LISTON 1X3X0,700;3,44;ft²;
AERO, SOFA-1/3CPOS(+29);LISTON 1X3X1,520;3,74;ft²;
AERO, SOFA-1/3CPOS(+29);LISTON 1X2X1,850;1,3;ft²;
AERO, SOFA-1/3CPOS(+29);MDF 9MM                       ;1,67;m²;
AERO, SOFA-1/3CPOS(+29);CHAPADUR 3MM                  ;0,46;m²;
AERO, SOFA-1/3CPOS(+29);AMINA                         ;5,5262;g;
AERO, SOFA-1/3CPOS(+29);TDI (DI ISIOCANATO DE TOLUENO);1511,5672;g;
AERO, SOFA-1/3CPOS(+29);PASTA AMARILLA;2,4518;g;
AERO, SOFA-1/3CPOS(+29);T9 (OCTOATO DE ESTAAÑO)       ;6,7964;g;
AERO, SOFA-1/3CPOS(+29);VORANOL 3011 (POLIOL)         ;2410,7547;g;
AERO, SOFA-1/3CPOS(+29);CLORURO DE METILENO           ;178,6341;g;
AERO, SOFA-1/3CPOS(+29);SILICONA2 - B 8123 / 580      ;34,7024;g;
AERO, SOFA-1/3CPOS(+29);VORANOL 3943 (COPO)           ;190,6629;g;
AERO, SOFA-1/3CPOS(+29);SILICONA1 B 8228 - 594        ;9,4393;g;
AERO, SOFA-1/3CPOS(+29);PASTA ROJA                    ;1,3602;g;
AERO, SOFA-1/3CPOS(+29);Cascara;2,36;kg;
AERO, SOFA-1/3CPOS(+29);AUT HEX. MAD P AGU T2 12X1 1/2;10;Units;
AERO, SOFA-1/3CPOS(+29);AUT HEX. MAD P AGU T2 12X3;6;Units;
AERO, SOFA-1/3CPOS(+29);CINCHA ELASTICA ASIENTO;8,52;m;
AERO, SOFA-1/3CPOS(+29);ETIQUETA BORDAD LIVING;1;Units;
